year,week,date,home_team,home_conference,home_points,away_team,away_conference,away_points,significance,home_rank,away_rank,outlet
2013,5,2013-09-29 00:00:00+00:00,Ohio State,Big Ten,31,Wisconsin,Big Ten,24,ranked_matchup,4.0,23.0,ABC
2013,5,2013-09-29 02:00:00+00:00,Washington State,Pac-12,17,Stanford,Pac-12,55,ranked_matchup,,5.0,ESPNM
2013,5,2013-09-29 02:30:00+00:00,Oregon,Pac-12,55,California,Pac-12,16,ranked_matchup,2.0,,PAC12
2013,5,2013-09-29 04:00:00+00:00,Hawai'i,Mountain West,37,Fresno State,Mountain West,42,ranked_matchup,,25.0,
2013,6,2013-10-04 02:00:00+00:00,Utah,Pac-12,27,UCLA,Pac-12,34,ranked_matchup,,12.0,FS1
2013,6,2013-10-05 16:00:00+00:00,Kansas,Big 12,16,Texas Tech,Big 12,54,ranked_matchup,,20.0,FS1
2013,6,2013-10-05 16:00:00+00:00,Florida State,ACC,63,Maryland,ACC,0,ranked_matchup,8.0,25.0,ESPNM
2013,6,2013-10-05 16:00:00+00:00,Temple,American Athletic,7,Louisville,American Athletic,30,ranked_matchup,,7.0,ESGP
2013,6,2013-10-05 16:21:00+00:00,Alabama,SEC,45,Georgia State,Sun Belt,3,ranked_matchup,1.0,,ESGP
2013,6,2013-10-05 19:30:00+00:00,Oklahoma State,Big 12,33,Kansas State,Big 12,29,ranked_matchup,21.0,,ESGP
2013,6,2013-10-05 19:30:00+00:00,Michigan,Big Ten,42,Minnesota,Big Ten,13,ranked_matchup,19.0,,ESPN2
2013,6,2013-10-05 19:30:00+00:00,Miami,ACC,45,Georgia Tech,ACC,30,ranked_matchup,14.0,,ESPNU
2013,6,2013-10-05 19:30:00+00:00,Syracuse,ACC,14,Clemson,ACC,49,ranked_matchup,,3.0,ESGP
2013,6,2013-10-05 19:30:00+00:00,Tennessee,SEC,31,Georgia,SEC,34,ranked_matchup,,6.0,CBS
2013,6,2013-10-05 21:00:00+00:00,Idaho,FBS Independents,14,Fresno State,Mountain West,61,ranked_matchup,,23.0,
2013,6,2013-10-05 22:00:00+00:00,Colorado,Pac-12,16,Oregon,Pac-12,57,ranked_matchup,,2.0,PAC12
2013,6,2013-10-05 23:00:00+00:00,Mississippi State,SEC,26,LSU,SEC,59,ranked_matchup,,10.0,ESPNM
2013,6,2013-10-05 23:00:00+00:00,Oklahoma,Big 12,20,TCU,Big 12,17,ranked_matchup,11.0,,FOX
2013,6,2013-10-05 23:00:00+00:00,Florida,SEC,30,Arkansas,SEC,10,ranked_matchup,18.0,,ESPN2
2013,6,2013-10-05 23:00:00+00:00,Auburn,SEC,30,Ole Miss,SEC,22,ranked_matchup,,24.0,ESPNU
2013,6,2013-10-05 23:30:00+00:00,Notre Dame,FBS Independents,37,Arizona State,Pac-12,34,ranked_matchup,,22.0,NBC
2013,6,2013-10-05 23:30:00+00:00,South Carolina,SEC,35,Kentucky,SEC,28,ranked_matchup,13.0,,ESGP
2013,6,2013-10-06 00:00:00+00:00,Baylor,Big 12,73,West Virginia,Big 12,42,ranked_matchup,17.0,,FS1
