year,team,conference,division,total_games,total_wins,total_losses,conference_games,conference_wins,conference_losses,home_games,home_wins,home_losses,away_games,away_wins,away_losses,expected_wins
2001,Ball State,Mid-American,West,11,5,6,7,4,3,5,2,3,6,3,3,
2001,Buffalo,Mid-American,East,11,3,8,8,1,7,5,1,4,6,2,4,
2001,UCF,FBS Independents,,11,6,5,0,0,0,5,5,0,6,1,5,
2001,Central Michigan,Mid-American,West,11,3,8,8,2,6,5,2,3,6,1,5,
2001,Cincinnati,Conference USA,,12,7,5,8,5,3,6,3,3,6,4,2,
2001,Eastern Michigan,Mid-American,West,11,2,9,7,1,6,5,2,3,6,0,6,
2001,Iowa,Big Ten,,12,7,5,8,4,4,6,5,1,6,2,4,
2001,Kansas,Big 12,North,11,3,8,8,1,7,7,2,5,4,1,3,
2001,Kansas State,Big 12,North,12,6,6,8,3,5,7,4,3,5,2,3,
2001,Kent State,Mid-American,East,11,6,5,8,5,3,5,4,1,6,2,4,
2001,Louisiana Tech,Western Athletic,,12,7,5,8,7,1,5,4,1,7,3,4,
2001,Miami,Big East,,12,12,0,7,7,0,7,7,0,5,5,0,
2001,Middle Tennessee,Sun Belt,,11,8,3,6,5,1,5,5,0,6,3,3,
2001,Navy,FBS Independents,,10,0,10,0,0,0,6,0,6,4,0,4,
2001,UL Monroe,Sun Belt,East,11,2,9,6,2,4,5,1,4,6,1,5,
2001,UNLV,Mountain West,,11,4,7,9,3,6,5,1,4,6,3,3,
2001,Nevada,Western Athletic,,11,3,8,8,3,5,5,2,3,6,1,5,
2001,Northern Illinois,Mid-American,West,11,6,5,7,4,3,6,5,1,5,1,4,
2001,Oregon,Pac-10,,12,11,1,10,9,1,7,6,1,5,5,0,
2001,Purdue,Big Ten,,12,6,6,10,5,5,6,4,2,6,2,4,
2001,SMU,Western Athletic,,11,4,7,8,4,4,6,2,4,5,2,3,
2001,Southern Miss,Conference USA,,11,6,5,8,4,4,5,4,1,6,2,4,
2001,South Carolina,SEC,East,12,9,3,8,5,3,8,7,1,4,2,2,
2001,TCU,Conference USA,,12,6,6,7,4,3,4,2,2,8,4,4,
2001,Tennessee,SEC,East,13,11,2,9,7,2,7,6,1,6,5,1,
2001,UTEP,Western Athletic,,11,2,9,8,1,7,5,2,3,6,0,6,
2001,Texas Tech,Big 12,South,12,7,5,8,4,4,7,4,3,5,3,2,
2001,Toledo,Mid-American,West,12,10,2,8,6,2,7,7,0,5,3,2,
